38 2 215646 1 9 2 2 0 0 0 0 0 40 0 0
53 2 234721 2 7 1 2 1 1 0 0 0 40 0 0
28 2 338409 0 13 1 3 2 1 1 0 0 40 1 0
49 2 160187 4 5 3 4 0 1 1 0 0 16 2 0
31 2 45781 3 14 0 3 0 0 1 14084 0 50 0 1
42 2 159449 0 13 1 1 1 0 0 5178 0 40 0 1
30 0 141297 0 13 1 3 1 2 0 0 0 40 3 1
23 2 122272 0 13 0 0 3 0 1 0 0 30 0 0
25 1 176756 1 9 0 8 3 0 0 0 0 35 0 0
38 2 28887 2 7 1 5 1 0 0 0 0 50 0 0
40 2 193524 9 16 1 3 1 0 0 0 0 60 0 1
54 2 302146 1 9 4 4 4 1 1 0 0 20 0 0
35 3 76845 4 5 1 8 1 1 0 0 0 40 0 0
54 2 180211 5 10 1 3 1 2 0 0 0 60 5 1
39 2 367260 1 9 2 1 0 0 0 0 0 80 0 0
49 2 193366 1 9 1 6 1 0 0 0 0 40 0 0
23 4 190709 6 12 0 11 0 0 0 0 0 52 0 0
45 2 386940 0 13 2 1 3 0 0 0 1408 40 0 0
30 3 59951 5 10 1 0 3 0 0 0 0 40 0 0
22 0 311512 5 10 1 4 1 1 0 0 0 15 0 0
19 2 544091 1 9 5 0 2 0 1 0 0 25 0 0
31 2 507875 4 5 1 9 1 0 0 0 0 43 0 0
53 1 88506 0 13 1 3 1 0 0 0 0 40 0 0
49 2 94638 1 9 4 0 4 0 1 0 0 40 0 0
25 2 289980 1 9 0 2 0 0 0 0 0 35 0 0
44 2 128354 3 14 2 1 4 0 1 0 0 40 0 0
18 2 226956 1 9 0 4 3 0 1 0 0 30 0 0
47 2 51835 10 15 1 3 2 0 1 0 1902 60 7 1
47 5 109832 1 9 2 1 0 0 0 0 0 60 0 0
46 2 216666 11 3 1 9 1 0 0 0 0 40 4 0
41 2 147372 1 9 1 0 1 0 0 0 0 48 0 0
42 2 116632 9 16 1 3 1 0 0 0 0 45 0 1
28 2 183175 5 10 2 0 0 0 1 0 0 40 0 0
49 5 191681 5 10 1 1 1 0 0 0 0 50 0 1
25 2 200681 5 10 0 3 3 0 0 0 0 40 0 0
19 2 101509 5 10 0 3 3 0 0 0 0 32 0 0
23 2 211678 5 10 0 9 0 0 0 0 0 40 0 0
31 4 125927 8 4 1 8 1 0 0 0 0 40 0 0
53 2 346253 1 9 2 5 3 0 1 0 0 35 0 0
49 4 268234 1 9 1 11 1 0 0 0 0 40 0 1
37 2 286730 5 10 2 6 4 0 1 0 0 40 0 0
30 2 117747 1 9 1 5 2 2 1 0 1573 35 0 0
34 4 226296 0 13 1 11 1 0 0 0 0 40 0 1
29 4 115585 5 10 0 2 0 0 0 0 0 50 0 0
48 1 191277 9 16 1 3 1 0 0 0 1902 60 0 1
32 3 249409 1 9 0 4 3 1 0 0 0 40 0 0
44 2 198282 0 13 1 1 1 0 0 15024 0 60 0 1
47 1 149116 3 14 0 3 0 0 1 0 0 50 0 0
32 5 317660 1 9 1 6 1 0 0 7688 0 40 0 1
17 2 304873 12 6 0 3 3 0 1 34095 0 32 0 0
30 2 194901 2 7 0 2 3 0 0 0 0 40 0 0
24 2 432376 0 13 0 5 5 0 0 0 0 40 0 0
